refname	commit_sha
refs/heads/codex/cu-0a01-react-rejoin-current	e1b8832ec21a540bc4161533eedc96220ea0bdf2
refs/heads/codex/cu-gr01-guard-publication	e05eea1f416484d591aeb73eedcb0864a5171c12
refs/heads/codex/d1l-current-document-constructor	b6e652e1bc17a4100ea92130f6fe48d550b81419
refs/heads/codex/d1l-deprecation-conflict	734a93eabdf37de3fb7c02b2760b0b3aefe6ca0d
refs/heads/codex/d1l-review-fixes	25271dd93bba9e99679ca1048141f4dc101b2f05
refs/heads/codex/docs-check-generated-dirs	da806104ae3f067128dab7581f47a1404e11c6f4
refs/heads/codex/g0-9-native-product-mock	f65faa928aedeb62ca37c7bf0bce9e053c4710d3
refs/heads/codex/historical-docs-recovery-1	3c02e03993754f71e37ef0d52faf3aa604b78aa5
refs/heads/codex/historical-recovery-coverage-ledger	c6fc3ee9ef70d6c934cf0e08970db107e5e7caf5
refs/heads/codex/latest-ui-mock	59dab97c6dbe9a75bd062bd93d2c33d181ecc30e
refs/heads/codex/losing-spec-value-recovery	c6fc3ee9ef70d6c934cf0e08970db107e5e7caf5
refs/heads/codex/m2-camera-decision	2d19ed6adce6a12d8d05ce0b63172f96113926ba
refs/heads/codex/m2-external-revision	51beed217a27fb4450289c0f0c0071ea2d48b601
refs/heads/codex/m2-param-boundary	3c2a123c3be4b1511b7aaae6a28a32e100e04b1c
refs/heads/codex/m2-unresolved-decisions	90509782aaf9357d2402b25121a430fd14fbf3bb
refs/heads/codex/m2-wave1-contracts	c4f094c8f66f64ccf0565a885b746c239f909a4b
refs/heads/codex/m3-browser-panel-spike	2661106a83b1aa01bc57d5d92c37d0bbda537acd
refs/heads/codex/m3-command-id-contract	3f40ad06fa0109422ee58998df4f29201cc2e71c
refs/heads/codex/m3-egui-rerun-mock	2b08dedeb072217cfc55f7e3a548a3f3a52a650f
refs/heads/codex/m3-entry	cdb469ed551abb2c8c22b2d5ae394b6961692973
refs/heads/codex/m3-entry-retranslation	496dd9ae671b95cefaeacec003620173aad16983
refs/heads/codex/m3-g0-9-builtin-webview-admission	aacc6b68eec66422a19c07862a2feab15a979104
refs/heads/codex/m3-g0-9-h1-exact-contract	6633fc64acdc5c509517776801d940b7f77abba5
refs/heads/codex/m3-g0-9-h1a-product-react	286fd449fd5d53445e0406fcfe2b23a01427a1da
refs/heads/codex/m3-g0-9-h1a-product-react-v2	8830976c780b37ea8a8d0ed220600993163997df
refs/heads/codex/m3-g0-9-h1a-product-react-v3	e02847197810131ce27763c56c13a1b78d4822eb
refs/heads/codex/m3-keymap-codec-contract	eae86ae423fcf84578d958c47bbd137662cb9058
refs/heads/codex/m3-keymap-gesture-contract	5080e4ab1cb80a388454b3bd25cfad338a77b5e9
refs/heads/codex/m3-late-discovery-audit	dc33bb1b29f4e5e42255ff0d95701d47d8a3af13
refs/heads/codex/m3-mock-components	7572376b9fd0480c10f21c826b1a677c739e1d77
refs/heads/codex/m3-mock-current-key-test-repair	5e5e62d10b17c894d80b368a0a9a936d29ed5a3a
refs/heads/codex/m3-pv1-disposition	85d73c02d0a269d95d30a34799b76666e737a952
refs/heads/codex/m3-pv1-preview-lifecycle	59a625b69b3564c69c495045dbb40158a10b5c86
refs/heads/codex/m3-rectangle-place-contract	ba12407b8c7bf5b971c43f3086af4a18421a94d5
refs/heads/codex/m3-text-motion-task-translation	4a17b2f736f7b66ccee043746b687a59c24b4950
refs/heads/codex/m3-tonight-product-slice	263616fbb72e02537eac033567755353c1004952
refs/heads/codex/m3-u0b-1	65e43322c1113ee41630b4f509ca37df54303d5e
refs/heads/codex/m3-u0b-2	3dcb7adb9489924529b344b70176092978d57177
refs/heads/codex/m3-u0c-1	4ed0d20b1340d7fb5e1962237cdfe900c197c158
refs/heads/codex/m3-u0c-2	d8458c9caac254aff74be9d89a638872771ab54e
refs/heads/codex/m3-u0d-1	c22ef08493c7a712f554c8b80b853e9bdfaef0c8
refs/heads/codex/m3-u0d-2	f23d2671388bd49fd42d0cc76f4f410cd8916bc9
refs/heads/codex/m3-u0d-3	86f423f33197d8a8ae53a0fe18a5fe8cd5e20d97
refs/heads/codex/m3-u0d-3-alias-contract	ad8390dec13d719afbca41c322111db2b6942698
refs/heads/codex/m3-u0d-3-contract	c125f90232aa6bf62f82c47c59f9a9ca7b5e037c
refs/heads/codex/m3-u0d-3-raw-contract	c5b86184ff17fc7c9c324795716835662948d250
refs/heads/codex/m3-u0e-1-token-generator-contract	e40711b5c7a06e4f64a6c496f2d85771269b65fe
refs/heads/codex/m3-u0e-1-token-generator-implementation	68e68f8eade830a0434dfe81748d6d708bdff538
refs/heads/codex/m3-u0e-2-reference-fixture-contract	3b7b8827391654674bb45e2e4b630fb94d9c00f8
refs/heads/codex/m3-u0e-2r	e86c9a0493b05d467cd58950a65ea5dae1f4ce9b
refs/heads/codex/m3-u0e-2r-react-baseline-rejoin	f65faa928aedeb62ca37c7bf0bce9e053c4710d3
refs/heads/codex/m3-u1a-1-shell-v2	bfeb9eeae25d3f6f1ec438a3631c9cf2d0dee08f
refs/heads/codex/m3-u1a-2-layout	54e7fcb58ff7b446fb0998d8bfd3d80448e3a58c
refs/heads/codex/m3-u1a-2-layout-impl	e5bc8da410e91bfb6154b21e12f39505fde4705c
refs/heads/codex/m3-u1b-1-contract	12dde852e9f52598765e9b8689e7705826f35eb9
refs/heads/codex/m3-u1b-1-render-worker	7fd30740a23d824f21afb1ee679b2abf3166d0dd
refs/heads/codex/m3-u1b-1-render-worker-impl	4661f28856f87d72eac9372dac77392fd7e67f12
refs/heads/codex/m3-u1b-2-contract	e4dfc07209a1f5f3dd0a764bf39a62eca3c1726a
refs/heads/codex/m3-u1b-2-latest-projection-impl	b0d7f67682d6558d87e9ce22c61d8c64cf0f4db5
refs/heads/codex/m3-u2a-1	0a815a8cbad20fa9e9ec099a7e74ca2bf10075fa
refs/heads/codex/m3-u2b-1-single-writer-e2e	1b01a9dc4ee97f087b8a00d17100013b3c9c363e
refs/heads/codex/m3-u2b-1-single-writer-e2e-impl	8175fccee46ff9d6b14528b5cfe93bdf0dd9f5bc
refs/heads/codex/m3-u2b-2-core	9ca77aab97aea7af2888af51329cfeb3e7fdaff0
refs/heads/codex/m3-u2c-4-diagnostic-implementation	d1f4a363f4e766224efd56c6c7eec107a0561042
refs/heads/codex/m3-u2h-1-contract	7a43273d5f3f98d060306913fd6f03fb27179be1
refs/heads/codex/m3-u3a-1-contract	22308fe819ccc49625c78a64763668f5bee14310
refs/heads/codex/m3-u4b-0-prod	53bd83d605c57df74b9ad21a87bdcc2d5bab8739
